iteration,train_error,train_accuracy,valid_error,valid_accuracy
0,0.07161621726118028,0.21249999315477908,0.07336339389439672,0.26999999303370714
300,0.05490879400167614,0.4012499889358878,0.0739247832680121,0.34749999013729393
600,0.03977799118729308,0.6074999803677201,0.07974131614901125,0.40374998981133103
900,0.03654750162968412,0.6449999883770943,0.07411077711731195,0.4387499906588346
1200,0.035486418346408755,0.6724999845027924,0.07485148182604462,0.4087499878369272
1500,0.034564833040349185,0.657499979250133,0.06752788031008095,0.482499991543591
1800,0.03300804988248274,0.6674999892711639,0.07044867775402963,0.4587499857880175
2100,0.03093643084866926,0.6949999835342169,0.06135560426628217,0.522499986924231
2400,0.031054361315909773,0.7199999848380685,0.06522511882940307,0.5124999843537807
2700,0.029630379838636145,0.7087499741464853,0.07235854567261413,0.5087499860674143
3000,0.029754224698990583,0.7149999840185046,0.07115664100274444,0.5124999866820872
3300,0.028344618360279128,0.753749979659915,0.07736113225109875,0.46124998666346073
3600,0.03131088466034271,0.6937499828636646,0.07140030578011647,0.5162499854341149
3900,0.02942352488753386,0.7237499784678221,0.07039285625796765,0.4987499862909317
4200,0.030773329228395596,0.6799999801442027,0.06543980282731354,0.5237499866634607
4500,0.02793758362531662,0.7324999812990427,0.0696917575551197,0.5237499866634607
4800,0.026920949545456097,0.742499977350235,0.07464408676605672,0.488749987911433
5100,0.02825686999130994,0.7437499780207872,0.07897582370787859,0.4924999875947833
5400,0.027364041714463383,0.7424999792128801,0.07412096404004842,0.5112499883398414
5700,0.027208002720726654,0.7487499807029963,0.07728844915982336,0.5162499849684536
6000,0.030289841088233516,0.7024999801069498,0.06998816278064623,0.5149999903514981
6300,0.02480331956758164,0.7774999793618917,0.060457279440015554,0.5674999877810478
6600,0.02754129731329158,0.7337499875575304,0.07553760090377182,0.5149999856948853
6900,0.024355330839171074,0.7837499789893627,0.06923609529621899,0.541249985806644
7200,0.027441907601314597,0.7462499812245369,0.06799409870291129,0.5324999885633588
7500,0.021952682582195848,0.7987499795854092,0.07062563439831138,0.5412499820813537
7800,0.0258143957471475,0.7512499801814556,0.06294949923176318,0.5349999843165278
8100,0.02574435152928345,0.7599999792873859,0.05940075538819656,0.5599999846890569
8400,0.023638542188564315,0.7699999790638685,0.06517192348837852,0.5312499860301614
8700,0.02901138478773646,0.712499980814755,0.06796611566096544,0.5387499891221523
9000,0.024543701932998374,0.7699999772012234,0.06877577438717708,0.543749988079071
9300,0.029359336447669193,0.7349999789148569,0.06885360419983044,0.552499988116324
9600,0.027744806866394356,0.7312499778345227,0.07199711864814162,0.5199999855831265
9900,0.025171619301545434,0.7512499783188105,0.06235230021411553,0.569999985396862
10200,0.025210587613401003,0.7687499755993485,0.07051602029241621,0.536249989643693
10500,0.025256364548113197,0.7612499771639705,0.060972003848291934,0.5537499841302633
10800,0.02687342293211259,0.7562499763444066,0.06473482068395242,0.534999986179173
11100,0.024010643901419826,0.7662499779835343,0.06240768148563802,0.5474999891594052
11400,0.02354317341814749,0.7774999756366014,0.06200138619169593,0.556249987334013
11700,0.022267651569563895,0.7987499758601189,0.060067316284403205,0.5474999891594052
12000,0.02237066422821954,0.7837499789893627,0.06298024015268311,0.5574999833479524
12300,0.021626754547469318,0.7937499787658453,0.06257134478073567,0.5399999879300594
12600,0.019878714461810887,0.8012499809265137,0.05759094899985939,0.5662499899044633
12900,0.021663318169885315,0.8062499761581421,0.058946972887497395,0.5462499842979014
13200,0.02199135857517831,0.8012499744072556,0.06254872988210991,0.5649999836459756
13500,0.02070107295003254,0.8149999789893627,0.06511884700739756,0.5437499876134098
13800,0.021442889934405684,0.8012499809265137,0.06175243551842868,0.5499999858438969
14100,0.023385565262287855,0.7837499771267176,0.05707507621264085,0.5824999883770943
14400,0.023048404516885057,0.7874999735504389,0.06425325974123552,0.5412499872036278
14700,0.02271766442572698,0.7949999775737524,0.058437428902834654,0.5724999913945794
15000,0.0193356304516783,0.823749978095293,0.06205017404863611,0.5687499847263098
15300,0.02201509362203069,0.7974999789148569,0.05602780665503815,0.581249987706542
15600,0.021396224488853477,0.8074999768286943,0.0569324012612924,0.5762499794363976
15900,0.020641270763007924,0.8037499729543924,0.05186325067188591,0.6149999871850014
16200,0.022541091282619163,0.7837499752640724,0.05227658851072192,0.5812499881722033
16500,0.023318175270105712,0.7912499774247408,0.06425122101791203,0.5612499881535769
16800,0.02030703573836945,0.8087499812245369,0.059588085510767996,0.5799999884329736
17100,0.02122154891549144,0.7974999807775021,0.05571502726525068,0.5662499852478504
17400,0.024741016000916716,0.7687499793246388,0.0705447003711015,0.5049999868497252
17700,0.022302281256997958,0.7812499767169356,0.05077949556289241,0.6249999841675162
18000,0.020745438741869293,0.8112499788403511,0.05546990456059575,0.5862499866634607
18300,0.024318292445968837,0.7587499730288982,0.06217377242865041,0.5487499879673123
18600,0.02467216608056333,0.7799999807029963,0.06019454181659967,0.5824999855831265
18900,0.02042200361029245,0.8124999785795808,0.05596562405116856,0.581249987706542
19200,0.024632648070110008,0.7737499792128801,0.05861698655644432,0.5737499874085188
19500,0.024250879476312548,0.7699999734759331,0.058736941253300756,0.564999989233911
19800,0.018359333102125674,0.8224999736994505,0.057533698389306664,0.5687499884516001
20100,0.022387514720321633,0.7999999765306711,0.05630352854495868,0.5837499834597111
20400,0.021456559421494603,0.7924999743700027,0.05573349824408069,0.5874999864026904
20700,0.02113884071877692,0.8012499753385782,0.05558229220332578,0.6062499862164259
21000,0.02169037588464562,0.8087499812245369,0.05933027254650369,0.5874999854713678
21300,0.020700265267805662,0.8062499761581421,0.06182909366907552,0.5512499865144491
21600,0.020356534543680027,0.8199999816715717,0.0622509834356606,0.5724999839439988
21900,0.021520144306123257,0.8112499751150608,0.05818299690145068,0.5837499825283885
22200,0.021895051031606272,0.8012499772012234,0.06314214318990707,0.5524999825283885
22500,0.02128958477260312,0.807499973103404,0.05723181238863617,0.5799999861046672
22800,0.02108542586211115,0.8074999768286943,0.052166668174322695,0.5849999850615859
23100,0.02290812494175043,0.7987499721348286,0.050018695706967264,0.5849999831989408
23400,0.01931096616317518,0.8162499777972698,0.05605366482632235,0.5474999840371311
23700,0.021200792136369273,0.8037499748170376,0.05022001330507919,0.5949999867007136
24000,0.018969001714140177,0.8349999785423279,0.05160010186955333,0.5749999834224582
24300,0.018869780746172182,0.8212499786168337,0.048064955743029714,0.617499990388751
24600,0.02123496524291113,0.8062499761581421,0.052190582209732383,0.5724999839439988
24900,0.01859418913954869,0.8299999758601189,0.05105786910280585,0.5812499816529453
25200,0.02298949848045595,0.7687499839812517,0.05695147189544514,0.5499999839812517
25500,0.02195636587566696,0.8074999749660492,0.05224400444421917,0.5887499852105975
25800,0.018575738184154034,0.8312499802559614,0.048616209940519184,0.6112499833106995
26100,0.02241952804615721,0.7837499789893627,0.05174425180302933,0.5937499832361937
26400,0.0208585520304041,0.7987499721348286,0.05288676545023918,0.5799999879673123
26700,0.022604845376918092,0.7924999743700027,0.0487378237885423,0.597499986179173
27000,0.02233177944435738,0.8012499753385782,0.05247572367079556,0.5924999890848994
27300,0.02176726899051573,0.7987499739974737,0.04730739607475698,0.6037499820813537
27600,0.020211008653859608,0.811249976977706,0.049819993728306144,0.6099999910220504
27900,0.022374195672455244,0.7862499821931124,0.05198411172023043,0.5824999855831265
