iteration,train_error,train_accuracy,valid_error,valid_accuracy
0,0.06579035648610443,0.2412499925121665,0.06687449966557324,0.2237499940674752
300,0.051710294326767325,0.48749998956918716,0.0583168858429417,0.3962499890476465
600,0.04044144001090899,0.5837499843910336,0.04784399352502078,0.504999989643693
900,0.038306934060528874,0.6099999845027924,0.04714383004466072,0.5099999830126762
1200,0.038521602749824524,0.6337499851360917,0.0451407243963331,0.5524999843910336
1500,0.039657237444771454,0.6124999867752194,0.04607310122810304,0.5149999866262078
1800,0.0381683042505756,0.6199999796226621,0.044064399669878185,0.5562499877996743
2100,0.036551409342791885,0.6549999872222543,0.045733793056569993,0.5424999808892608
2400,0.03651823062682524,0.6462499815970659,0.04559989704284817,0.5487499861046672
2700,0.03479663675534539,0.6574999876320362,0.04291637532878667,0.549999984446913
3000,0.03762409702176228,0.6324999816715717,0.04532647039741278,0.5537499859929085
3300,0.03314919365220703,0.6799999810755253,0.042639251973014325,0.5774999838322401
3600,0.033994115132372826,0.649999987334013,0.04402713745366782,0.5537499841302633
3900,0.031063948234077543,0.7049999851733446,0.044143885432276875,0.561249983496964
4200,0.03539693163475022,0.6587499855086207,0.04463507456239313,0.5574999870732427
4500,0.03479154413798824,0.6599999833852053,0.040566053765360266,0.6024999907240272
4800,0.03407189901918173,0.6824999796226621,0.045532530813943595,0.5762499831616879
5100,0.033292689913650975,0.6937499837949872,0.04438376292819157,0.5624999906867743
5400,0.03294786636251956,0.6712499838322401,0.043536273180507123,0.583749988116324
5700,0.03170048940228298,0.7037499872967601,0.037621277617290616,0.6474999822676182
6000,0.03052890722756274,0.7137499786913395,0.03985568252392113,0.5999999800696969
6300,0.033477965524070896,0.6799999782815576,0.04618263564771041,0.533749985974282
6600,0.03392220594105311,0.671249981969595,0.042790527746547014,0.5637499894946814
6900,0.03286842390662059,0.6712499875575304,0.043203202018048614,0.5662499824538827
7200,0.030668810664792545,0.6974999876692891,0.03960477968212217,0.5912499874830246
7500,0.032223783317022026,0.691249979659915,0.03887352906167507,0.6212499858811498
7800,0.032842820801306516,0.6712499856948853,0.0430930953589268,0.5699999830685556
8100,0.03196676529478282,0.6912499833852053,0.04138088278705254,0.5737499892711639
8400,0.03487918357132003,0.6649999776855111,0.03864620253443718,0.6137499799951911
8700,0.035767787019722164,0.6749999895691872,0.042905779322609305,0.5699999835342169
9000,0.031301832816097885,0.7049999786540866,0.04215506394393742,0.5812499839812517
9300,0.030392629269044846,0.6999999759718776,0.04172656964510679,0.5799999870359898
9600,0.030356493312865496,0.7087499788030982,0.04274894227273762,0.5787499826401472
9900,0.030411073414143175,0.7049999795854092,0.04057140171062201,0.583749988116324
10200,0.0303325061686337,0.6949999816715717,0.04360316874226555,0.557499990798533
10500,0.028872552968095988,0.7249999763444066,0.04312045394908637,0.5649999873712659
10800,0.030904938146704808,0.6924999812617898,0.04133954964345321,0.5949999839067459
11100,0.03021765674930066,0.7074999799951911,0.042244540294632316,0.5687499884516001
11400,0.03013331157853827,0.6987499799579382,0.04186606453731656,0.5999999828636646
11700,0.029405625449726358,0.7149999812245369,0.04185807751491666,0.5724999886006117
12000,0.029154597490560263,0.7112499801442027,0.04037838679505512,0.6024999869987369
12300,0.03251103687216528,0.6937499847263098,0.04427683015819639,0.5674999835900962
12600,0.03189901012228802,0.6862499779090285,0.04016750957816839,0.5862499861977994
12900,0.03137292218161747,0.6987499846145511,0.04138900642283261,0.5737499827519059
13200,0.027612275385763496,0.7349999807775021,0.041527667664922774,0.5762499868869781
13500,0.03519108990440145,0.6549999807029963,0.0452351420535706,0.5362499849870801
13800,0.031259019713616,0.7062499793246388,0.04015453706961125,0.6199999824166298
14100,0.03264576126821339,0.6737499898299575,0.04212793934857473,0.5837499871850014
14400,0.03153556914185174,0.7137499758973718,0.04062772897304967,0.6012499844655395
14700,0.029499525378923863,0.7299999818205833,0.04185887903440744,0.6037499839439988
15000,0.026893605128861964,0.7299999725073576,0.045310987159609795,0.5412499839439988
15300,0.02844173859921284,0.7299999808892608,0.04172610823297873,0.5962499836459756
15600,0.02715245375293307,0.7437499817460775,0.04373462562216446,0.5699999900534749
15900,0.030105452344287187,0.7049999833106995,0.04090306319994852,0.5949999839067459
16200,0.03043423022609204,0.6999999862164259,0.04262491123517975,0.572499985806644
16500,0.029325636744033545,0.7212499789893627,0.04454771801829338,0.5787499882280827
16800,0.02932067497749813,0.7074999790638685,0.0419258062611334,0.5874999845400453
